movieId,title,genres
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
6,Heat (1995),Action|Crime|Thriller
7,Sabrina (1995),Comedy|Romance
10,GoldenEye (1995),Action|Adventure|Thriller
11,"American President, The (1995)",Comedy|Drama|Romance
13,Balto (1995),Adventure|Animation|Children
14,Nixon (1995),Drama
16,Casino (1995),Crime|Drama
17,Sense and Sensibility (1995),Drama|Romance
18,Four Rooms (1995),Comedy
21,Get Shorty (1995),Comedy|Crime|Thriller
25,Leaving Las Vegas (1995),Drama|Romance
26,Othello (1995),Drama
27,Now and Then (1995),Children|Drama
28,Persuasion (1995),Drama|Romance
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
34,Babe (1995),Children|Drama
35,Carrington (1995),Drama|Romance
36,Dead Man Walking (1995),Crime|Drama
39,Clueless (1995),Comedy|Romance
40,"Cry, the Beloved Country (1995)",Drama
41,Richard III (1995),Drama|War
43,Restoration (1995),Drama
45,To Die For (1995),Comedy|Drama|Thriller
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
52,Mighty Aphrodite (1995),Comedy|Drama|Romance
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance
59,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery
62,Mr. Holland's Opus (1995),Drama
68,French Twist (Gazon maudit) (1995),Comedy|Romance
69,Friday (1995),Comedy
72,Kicking and Screaming (1995),Comedy|Drama
73,"Misérables, Les (1995)",Drama|War
74,Bed of Roses (1996),Drama|Romance
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama
82,Antonia's Line (Antonia) (1995),Comedy|Drama
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance
85,Angels and Insects (1995),Drama|Romance
86,White Squall (1996),Action|Adventure|Drama
94,Beautiful Girls (1996),Comedy|Drama|Romance
96,In the Bleak Midwinter (1995),Comedy|Drama
97,"Hate (Haine, La) (1995)",Crime|Drama
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance
104,Happy Gilmore (1996),Comedy
105,"Bridges of Madison County, The (1995)",Drama|Romance
110,Braveheart (1995),Action|Drama|War
111,Taxi Driver (1976),Crime|Drama|Thriller
112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime
116,Anne Frank Remembered (1995),Documentary
117,"Young Poisoner's Handbook, The (1995)",Crime|Drama
121,"Boys of St. Vincent, The (1992)",Drama
123,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance
125,Flirting With Disaster (1996),Comedy
141,"Birdcage, The (1996)",Comedy
144,"Brothers McMullen, The (1995)",Comedy
147,"Basketball Diaries, The (1995)",Drama
149,Amateur (1994),Crime|Drama|Thriller
150,Apollo 13 (1995),Adventure|Drama|IMAX
151,Rob Roy (1995),Action|Drama|Romance|War
154,Beauty of the Day (Belle de jour) (1967),Drama
156,Blue in the Face (1995),Comedy|Drama
159,Clockers (1995),Crime|Drama|Mystery
161,Crimson Tide (1995),Drama|Thriller|War
162,Crumb (1994),Documentary
163,Desperado (1995),Action|Romance|Western
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller
165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller
171,Jeffrey (1995),Comedy|Drama
175,Kids (1995),Drama
176,Living in Oblivion (1995),Comedy
178,Love & Human Remains (1993),Comedy|Drama
180,Mallrats (1995),Comedy|Romance
187,Party Girl (1995),Comedy
190,Safe (1995),Thriller
194,Smoke (1995),Comedy|Drama
198,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance
205,Unstrung Heroes (1995),Comedy|Drama
206,Unzipped (1995),Documentary
207,"Walk in the Clouds, A (1995)",Drama|Romance
211,"Browning Version, The (1994)",Drama
213,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama
214,Before the Rain (Pred dozhdot) (1994),Drama|War
215,Before Sunrise (1995),Drama|Romance
219,"Cure, The (1995)",Drama
222,Circle of Friends (1995),Drama|Romance
223,Clerks (1994),Comedy
224,Don Juan DeMarco (1995),Comedy|Drama|Romance
229,Death and the Maiden (1994),Drama|Thriller
230,Dolores Claiborne (1995),Drama|Thriller
232,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance
233,Exotica (1994),Drama
235,Ed Wood (1994),Comedy|Drama
236,French Kiss (1995),Action|Comedy|Romance
242,Farinelli: il castrato (1994),Drama|Musical
246,Hoop Dreams (1994),Documentary
247,Heavenly Creatures (1994),Crime|Drama
249,Immortal Beloved (1994),Drama|Romance
253,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror
257,Just Cause (1995),Mystery|Thriller
260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
261,Little Women (1994),Drama
262,"Little Princess, A (1995)",Children|Drama
263,Ladybird Ladybird (1994),Drama
265,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance
266,Legends of the Fall (1994),Drama|Romance|War|Western
269,My Crazy Life (Mi vida loca) (1993),Drama
272,"Madness of King George, The (1994)",Comedy|Drama
277,Miracle on 34th Street (1994),Drama
279,My Family (1995),Drama
280,Murder in the First (1995),Drama|Thriller
281,Nobody's Fool (1994),Comedy|Drama|Romance
282,Nell (1994),Drama
289,Only You (1994),Comedy|Romance
290,Once Were Warriors (1994),Crime|Drama
292,Outbreak (1995),Action|Drama|Sci-Fi|Thriller
293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller
296,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
299,Priest (1994),Drama
300,Quiz Show (1994),Drama
301,Picture Bride (Bijo photo) (1994),Drama|Romance
302,"Queen Margot (Reine Margot, La) (1994)",Drama|Romance
306,Three Colors: Red (Trois couleurs: Rouge) (1994),Drama
307,Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama
308,Three Colors: White (Trzy kolory: Bialy) (1994),Comedy|Drama
309,"Red Firecracker, Green Firecracker (Pao Da Shuang Deng) (1994)",Drama
314,"Secret of Roan Inish, The (1994)",Children|Drama|Fantasy|Mystery
316,Stargate (1994),Action|Adventure|Sci-Fi
318,"Shawshank Redemption, The (1994)",Crime|Drama
319,Shallow Grave (1994),Comedy|Drama|Thriller
321,Strawberry and Chocolate (Fresa y chocolate) (1993),Drama
322,Swimming with Sharks (1995),Comedy|Drama
324,"Sum of Us, The (1994)",Comedy|Drama
326,To Live (Huozhe) (1994),Drama
329,Star Trek: Generations (1994),Adventure|Drama|Sci-Fi
333,Tommy Boy (1995),Comedy
334,Vanya on 42nd Street (1994),Drama
337,What's Eating Gilbert Grape (1993),Drama
339,While You Were Sleeping (1995),Comedy|Romance
341,Double Happiness (1994),Drama
342,Muriel's Wedding (1994),Comedy
345,"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama
346,Backbeat (1993),Drama|Musical
347,Bitter Moon (1992),Drama|Film-Noir|Romance
348,Bullets Over Broadway (1994),Comedy
349,Clear and Present Danger (1994),Action|Crime|Drama|Thriller
350,"Client, The (1994)",Drama|Mystery|Thriller
352,Crooklyn (1994),Comedy|Drama
353,"Crow, The (1994)",Action|Crime|Fantasy|Thriller
356,Forrest Gump (1994),Comedy|Drama|Romance|War
357,Four Weddings and a Funeral (1994),Comedy|Romance
362,"Jungle Book, The (1994)",Adventure|Children|Romance
